Year,Age,Immunization,Immunization_Count
2008,14,Varicella,3712
2008,14,Measles,921
2008,14,Mumps,917
2008,14,Rubella,918
2008,14,Influenza,1311
2008,14,Rotavirus,0
2008,14,Hib,26
2008,14,Pneumococcal,51
2008,14,Hepatitis A,3999
2008,14,Meningococcal,5625
2008,15,Hepatitis B,2424
2008,15,Diphtheria,4432
2008,15,Tetanus,4432
2008,15,Pertussis,3480
2008,15,Polio,1038
2008,15,Human Papilloma Virus,4162
2008,15,Varicella,3160
2008,15,Measles,1166
2008,15,Mumps,1164
2008,15,Rubella,1166
2008,15,Influenza,1330
2008,15,Rotavirus,0
2008,15,Hib,25
2008,15,Pneumococcal,39
2008,15,Hepatitis A,3814
2008,15,Meningococcal,4894
2008,16,Hepatitis B,1888
2008,16,Diphtheria,3689
2008,16,Tetanus,3689
2008,16,Pertussis,2938
2008,16,Polio,1158
2008,16,Human Papilloma Virus,3646
2008,16,Varicella,2504
2008,16,Measles,1189
2008,16,Mumps,1188
2008,16,Rubella,1188
2008,16,Influenza,1360
2008,16,Rotavirus,0
2008,16,Hib,31
2008,16,Pneumococcal,38
2008,16,Hepatitis A,2918
2008,16,Meningococcal,3946
2008,17,Hepatitis B,1961
2008,17,Diphtheria,3177
2008,17,Tetanus,3177
2008,17,Pertussis,2613
2008,17,Polio,1454
2008,17,Human Papilloma Virus,3223
2008,17,Varicella,2286
2008,17,Measles,1449
2008,17,Mumps,1445
2008,17,Rubella,1446
2008,17,Influenza,1218
2008,17,Rotavirus,0
2008,17,Hib,29
2008,17,Pneumococcal,27
2008,17,Hepatitis A,2360
2008,17,Meningococcal,3221
2008,18,Hepatitis B,2171
2008,18,Diphtheria,2504
2008,18,Tetanus,2504
2008,18,Pertussis,1944
2008,18,Polio,1548
2008,18,Human Papilloma Virus,2242
2008,18,Varicella,2123
2008,18,Measles,1626
2008,18,Mumps,1626
2008,18,Rubella,1627
2008,18,Influenza,885
